lat,long,o3_july24_contrast_15x15,o3_july24_dissimilarity_15x15,o3_july24_homogeneity_15x15,o3_july24_energy_15x15,o3_july24_correlation_15x15,o3_july24_ASM_15x15
40.81310667,-73.90916667,0.0,0.0,1.0,1.0,1.0,1.0
40.813045,-73.90918667,0.0,0.0,1.0,1.0,1.0,1.0
40.81297833,-73.909215,0.0,0.0,1.0,1.0,1.0,1.0
40.81290833,-73.90924167,0.0,0.0,1.0,1.0,1.0,1.0
40.812845,-73.90925667,0.0,0.0,1.0,1.0,1.0,1.0
40.81277667,-73.90928,0.0,0.0,1.0,1.0,1.0,1.0
40.81271,-73.90931167,0.0,0.0,1.0,1.0,1.0,1.0
40.81264333,-73.90934,0.0,0.0,1.0,1.0,1.0,1.0
40.81256167,-73.90936333,0.0,0.0,1.0,1.0,1.0,1.0
40.812485,-73.90938333,0.0,0.0,1.0,1.0,1.0,1.0
40.81240333,-73.90939333,0.0,0.0,1.0,1.0,1.0,1.0
40.81233,-73.90942,0.0,0.0,1.0,1.0,1.0,1.0
40.81223667,-73.90945333,0.0,0.0,1.0,1.0,1.0,1.0
40.81216333,-73.90947667,0.0,0.0,1.0,1.0,1.0,1.0
40.81209333,-73.90949333,0.0,0.0,1.0,1.0,1.0,1.0
40.81203167,-73.90952167,0.0,0.0,1.0,1.0,1.0,1.0
40.81198167,-73.90953,0.0,0.0,1.0,1.0,1.0,1.0
40.81194,-73.90954833,0.0,0.0,1.0,1.0,1.0,1.0
40.8119,-73.90956333,0.0,0.0,1.0,1.0,1.0,1.0
40.81186333,-73.90958167,0.0,0.0,1.0,1.0,1.0,1.0
40.81181167,-73.9096,0.0,0.0,1.0,1.0,1.0,1.0
40.81175333,-73.909615,0.0,0.0,1.0,1.0,1.0,1.0
40.8117,-73.90963167,0.0,0.0,1.0,1.0,1.0,1.0
40.81164333,-73.90964667,0.0,0.0,1.0,1.0,1.0,1.0
40.81157833,-73.90966167,0.0,0.0,1.0,1.0,1.0,1.0
40.81151,-73.909675,0.0,0.0,1.0,1.0,1.0,1.0
40.81144167,-73.90969333,0.0,0.0,1.0,1.0,1.0,1.0
40.81137667,-73.909705,0.0,0.0,1.0,1.0,1.0,1.0
40.81132,-73.90971333,0.0,0.0,1.0,1.0,1.0,1.0
40.81123,-73.909745,0.0,0.0,1.0,1.0,1.0,1.0
40.81120333,-73.909755,0.0,0.0,1.0,1.0,1.0,1.0
40.81116167,-73.90977,0.0,0.0,1.0,1.0,1.0,1.0
40.81111833,-73.90978667,0.0,0.0,1.0,1.0,1.0,1.0
40.81106,-73.90980833,0.0,0.0,1.0,1.0,1.0,1.0
40.810865,-73.909875,0.0,0.0,1.0,1.0,1.0,1.0
40.81081,-73.9099,0.0,0.0,1.0,1.0,1.0,1.0
40.81075333,-73.90992833,0.0,0.0,1.0,1.0,1.0,1.0
40.810705,-73.909965,0.0,0.0,1.0,1.0,1.0,1.0
40.81062833,-73.90995167,0.0,0.0,1.0,1.0,1.0,1.0
40.8106,-73.90991333,0.0,0.0,1.0,1.0,1.0,1.0
40.810515,-73.90974333,0.0,0.0,1.0,1.0,1.0,1.0
40.810495,-73.90966667,0.0,0.0,1.0,1.0,1.0,1.0
40.81047333,-73.90959167,0.0,0.0,1.0,1.0,1.0,1.0
40.810445,-73.90951833,0.0,0.0,1.0,1.0,1.0,1.0
40.81042333,-73.90944,0.0,0.0,1.0,1.0,1.0,1.0
40.8104,-73.909385,0.0,0.0,1.0,1.0,1.0,1.0
40.81038,-73.909345,0.0,0.0,1.0,1.0,1.0,1.0
40.81033333,-73.90925333,0.0,0.0,1.0,1.0,1.0,1.0
40.81030667,-73.90922333,0.0,0.0,1.0,1.0,1.0,1.0
40.81029333,-73.90917333,0.0,0.0,1.0,1.0,1.0,1.0
40.81028,-73.90911833,0.0,0.0,1.0,1.0,1.0,1.0
40.81026167,-73.909055,0.0,0.0,1.0,1.0,1.0,1.0
40.81023833,-73.90897833,0.0,0.0,1.0,1.0,1.0,1.0
40.81021833,-73.908895,0.0,0.0,1.0,1.0,1.0,1.0
40.81017333,-73.90871333,0.0,0.0,1.0,1.0,1.0,1.0
40.810155,-73.90862167,0.0,0.0,1.0,1.0,1.0,1.0
40.81013833,-73.90853667,0.0,0.0,1.0,1.0,1.0,1.0
40.81012667,-73.90847,0.0,0.0,1.0,1.0,1.0,1.0
40.810125,-73.90843167,0.0,0.0,1.0,1.0,1.0,1.0
40.81009667,-73.90818333,0.0,0.0,1.0,1.0,1.0,1.0
40.81007833,-73.9081,0.0,0.0,1.0,1.0,1.0,1.0
